SEED,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
1,Kansas,B12,39,37,121,85.5,0.982,56.6,44.3,19.1,22.4,37.6,29.1,36.4,31,55.4,41.2,39.7,32.8,68.6,9.93,Champions,2008
1,Memphis,CUSA,40,38,117,86.1,0.971,52.7,43.4,16.6,22.5,37.8,29.6,40.4,31.7,52.9,42.6,34.9,30.2,70.2,8.95,2ND,2008
1,UCLA,P10,38,35,116,86.8,0.966,52.2,46.5,19.1,21.8,39.2,27.2,37.3,25.6,52.4,45.4,34.4,32.9,66.1,10.8,F4,2008
1,North Carolina,ACC,39,36,122,91.9,0.965,53,48.2,18.8,21.1,42.5,29,38,25.7,52.1,47.8,37.2,32.6,74.7,11.9,F4,2008
3,Wisconsin,B10,36,31,112,85.4,0.96,50.6,43.4,19.5,21.9,36.2,28.6,39.9,25.4,49.3,41.7,35.6,31.3,63.1,8.38,S16,2008
3,Louisville,BE,36,27,112,86.5,0.951,53.1,44.1,20.2,21.7,33.4,30.9,36.5,33.5,53.5,43.1,35,30.5,67.2,4.71,E8,2008
2,Duke,ACC,34,28,115,89.9,0.948,53.6,47.6,18.3,24.7,33.9,33.7,40.9,31.9,51.7,47,37.7,32.9,73.5,8.96,R32,2008
2,Texas,B12,37,31,120,93.8,0.947,51.5,45.7,14.2,17.9,36.3,33.6,32,31,48.5,43.2,38,33.2,64.7,8.47,E8,2008
2,Georgetown,BE,34,28,113,87.9,0.947,56.7,41.9,21.3,19.8,33.1,32.7,34,36,56.2,40.5,38.4,29.6,62.9,7.79,R32,2008
4,Washington St.,P10,35,26,113,89.8,0.935,53.7,46.7,17,21.9,27.8,29.8,38.5,28.4,53,45.3,36.8,33.1,60,4.91,S16,2008
3,Stanford,P10,36,28,112,89.8,0.932,49.8,44.3,18.8,17.7,39.1,29.2,39.6,32.8,48,42.1,36.6,33.3,65.1,6.71,S16,2008
6,Marquette,BE,34,25,114,91.1,0.93,50.6,46.3,18.7,23.9,38.2,33.4,37.5,41,49,46.7,35.8,30.4,68.6,3.82,R32,2008
5,Clemson,ACC,33,24,113,90.4,0.929,51.9,48.1,20.3,24.6,39.8,36.4,30.6,33.8,49.7,49,37.5,30.4,69.6,4.41,R64,2008
2,Tennessee,SEC,35,31,114,91.6,0.929,52.4,49.1,18.2,24.7,36.2,34.6,38,39.6,51.5,50.3,35.8,31.2,72.8,9.24,S16,2008
10,Davidson,SC,35,29,114,91.7,0.928,54.1,49.3,17.3,24.3,32.4,28.5,26.3,37.3,54.1,47,36.1,35.5,68.4,1.53,E8,2008
5,Michigan St.,B10,36,27,114,92.7,0.92,52.6,46,21.1,18.9,39.5,31.6,33.5,33.1,51.6,45.6,37.1,31.1,65.3,5.11,S16,2008
3,Xavier,A10,37,30,115,93.4,0.92,54.6,47.1,19.8,19.6,35.8,30.1,42.4,31.4,52.2,45.2,39.1,33.6,65.8,4.71,E8,2008
9,Texas A&M,B12,35,25,112,91.1,0.915,52,44.9,19.2,17.4,35,28.1,41.8,26.7,51.2,42.2,35.7,33.8,63.8,3.12,R32,2008
7,West Virginia,BE,36,26,113,92.7,0.913,51.4,48,16.4,22.8,34.4,31.2,36.6,39.7,50.1,45.2,36,35.8,65.6,2.62,S16,2008
11,Kansas St.,B12,32,21,114,93.5,0.911,49.5,48.3,20.8,22.2,42.3,30.3,37.4,38.3,50.2,44.9,32,37.2,71.8,13,R32,2008
5,Drake,MVC,31,28,119,97.7,0.908,52.6,50.4,18,24.1,36.7,33.1,35.2,23.9,50.5,49.5,36.7,34.5,64.4,5.21,R64,2008
6,Purdue,B10,34,25,110,90.5,0.904,49.1,49.1,19.1,26,33.1,30.9,37.1,42.6,45.3,47.6,37.3,34.8,68.5,3.82,R32,2008
4,Pittsburgh,BE,36,27,116,95.9,0.901,50.8,47.9,18.2,20.9,39.3,33.9,36.1,28.6,50.8,46.8,33.8,33.4,65.3,5.31,R32,2008
4,Connecticut,BE,33,24,114,95,0.899,50.6,44.2,19.4,17.3,39.5,34.2,48.1,23.5,49.5,40.5,36.1,34.8,69,4.32,R64,2008
10,Arizona,P10,33,19,115,95.5,0.899,53.9,48.7,18.6,19,27.8,33.4,40.4,30.4,51.2,47.5,39.6,34.5,65.3,1.53,R64,2008
7,Gonzaga,WCC,33,25,112,93.3,0.896,54.5,45.7,20.7,21.6,34.6,29.7,39.7,32.1,53.7,43.8,37.5,32.7,68.4,2.13,R64,2008
5,Notre Dame,BE,33,25,114,95.1,0.895,52.2,46.6,18.3,17.5,36.2,30.7,34,23,47.8,44.8,40.5,33.5,70.5,4.42,R32,2008
7,Butler,Horz,34,30,114,94.9,0.894,54.1,48,16.9,22.9,29.8,32.2,36.7,32.6,51.3,48.2,38,31.8,61.2,4.71,R32,2008
6,USC,P10,33,21,109,90.8,0.894,53.3,44.8,21.9,20,31.1,35,38.7,27.9,51.5,44.1,38.7,30.7,67.4,3.62,R64,2008
8,Indiana,B10,33,25,114,94.9,0.892,52.3,47.3,20,19.8,36.1,29.1,41.9,31,52.3,45.1,34.9,34.1,68.4,4.81,R64,2008
NA,New Mexico,MWC,33,24,109,91.6,0.887,54.1,47.8,18.1,24,31.1,27.4,40.2,41.3,49.2,45.7,42,33.9,66.2,0.14,NA,2008
NA,Ohio St.,B10,37,24,108,91,0.883,52.5,45.4,20.4,21.4,33.3,35.6,28.2,22.1,53.6,43.6,33.7,32,65.9,0.44,NA,2008
NA,Virginia Tech,ACC,35,21,105,88.5,0.881,48.8,46.5,20.9,21.5,34.6,29,39,33.7,48,44.1,33.7,34.1,67.6,-0.6,NA,2008
8,Mississippi St.,SEC,34,23,107,91.1,0.873,52.2,42.5,21.4,17.8,34.7,32.7,39,28,53.3,39.8,33.4,31.7,68.5,0.64,R32,2008
8,BYU,MWC,35,27,105,90,0.867,53.2,43.2,19.5,19.1,30.6,26.4,37.3,30.5,51.6,42.8,37.3,29.5,70.2,2.52,R64,2008
NA,Nebraska,B12,33,20,107,91.1,0.864,51.2,47.3,20.6,23.9,32.1,30,38.6,32,51.1,42.6,34.2,36.4,63.2,-0.2,NA,2008
7,Miami FL,ACC,33,23,111,95.1,0.862,49.2,47,19,20.6,35.1,34,39.2,35.4,45.7,43.7,37.9,35.6,67.7,1.63,R32,2008
9,Arkansas,SEC,35,23,110,94.5,0.861,51.9,48.4,21.8,21.2,37.6,31.9,37.9,35.6,52.3,47.4,34.1,33.5,68.6,0.54,R32,2008
NA,Florida,SEC,36,24,115,98.9,0.854,55.3,50,18.6,19.8,35.6,30,31.2,29.1,55.7,49.5,36.3,34,66.5,-1.3,NA,2008
11,Baylor,B12,31,21,115,99.6,0.85,51.9,48.3,17.2,19.4,32,32.9,35.9,39.5,49.6,46.5,37.3,35.1,71.7,1.53,R64,2008
9,Oregon,P10,32,18,118,101,0.849,55.8,50.3,18.4,16.4,32,31,36.7,34.3,53.8,50.4,39.2,33.4,68,0.83,R64,2008
NA,Illinois,B10,35,16,106,91.3,0.848,48.8,45.8,21.5,20.3,37,29.9,36.5,37.2,49.2,43.3,31.9,33.5,63.3,-4,NA,2008
NA,Syracuse,BE,35,21,111,96.6,0.843,52.7,49.2,21.8,20,39,32.6,42,29.5,53.3,46.8,34.1,35.4,71.9,-0.6,NA,2008
8,UNLV,MWC,34,27,108,94,0.843,48.6,46.3,16.2,21.6,29.1,32.3,33.3,32.4,47.8,47,33.2,30.1,66.2,2.23,R32,2008
10,Saint Mary's,WCC,31,25,107,93,0.839,52.4,44.8,18.9,20.9,35.5,31.4,39,30.7,51.6,44.1,35.8,31.3,68.4,1.23,R64,2008
12,Villanova,BE,35,22,107,93.5,0.838,49.1,51.1,20.5,23.6,36.2,31,38.9,46.4,47.8,48.6,34.4,36.5,69.4,0.34,S16,2008
6,Oklahoma,B12,35,23,107,93.3,0.835,50.1,47,19.7,20.2,33.4,30.2,38.7,30.3,49,46,34.8,32.6,65.1,2.82,R32,2008
12,Western Kentucky,SB,34,29,109,95.6,0.828,53.6,47.2,20.2,24.9,36.7,33.4,36,48.8,51.1,46.2,39,32.9,69.6,0.24,S16,2008
11,Saint Joseph's,A10,34,21,113,99.3,0.827,54.6,50.6,19.3,21.5,32.5,34,39.7,33.3,52.8,47.7,38.6,37,65.4,-1.2,R64,2008
NA,Missouri,B12,32,16,111,97.2,0.827,50.7,48.8,17.7,23.1,31.5,34.9,30.8,42.9,51,49.8,33.4,30.9,72.5,-2.7,NA,2008
NA,Mississippi,SEC,35,24,113,98.8,0.824,52,49.5,18.6,19.6,39.1,31.1,30,34.3,50.4,48.2,36.7,34.4,71.3,0.14,NA,2008
NA,Georgia Tech,ACC,32,15,113,99,0.823,52.9,51.2,21.1,22.4,34.1,35.5,38.3,48.7,51.5,51.5,37.2,33.8,70.5,-2.3,NA,2008
NA,Florida St.,ACC,34,19,107,93.9,0.821,50.4,49.3,21.9,22.6,33.5,33.8,35.9,34.6,49.2,48,35.2,34.6,67.5,-0.4,NA,2008
4,Vanderbilt,SEC,34,26,111,97.8,0.817,54.1,49.7,19.8,20.5,31,33.5,38.3,32,50.6,48.3,39.9,35,70.4,3.82,R64,2008
NA,Arizona St.,P10,34,21,108,95.1,0.816,53.7,48.4,20.2,21.6,28.5,32.2,40.1,32.1,54.1,45.3,35.5,35.1,62.6,0.84,NA,2008
NA,Maryland,ACC,34,19,107,94.2,0.813,50.9,44.4,23.4,19.7,35,34.9,37.5,30.9,50.9,42.6,33.8,32.4,71.1,-2.2,NA,2008
NA,Massachusetts,A10,36,25,109,96.1,0.812,51.4,47.6,17.7,19.9,31.7,33.9,38.6,37.9,49.9,46.1,35.6,34.1,76.2,-0.8,NA,2008
